env_id,agent,lam,n_seeds,total_steps,elapsed_sec_mean,cost_return_iqm,cost_return_ci_lo,cost_return_ci_hi,cost_return_mean,raw_return_iqm,raw_return_ci_lo,raw_return_ci_hi,raw_return_mean,n_actions_iqm,n_actions_ci_lo,n_actions_ci_hi,n_actions_mean,solved_iqm,solved_ci_lo,solved_ci_hi,solved_mean,best_rule_name
LunarLander-v3@tunedbase,lazy,0.0,1,200000,782.7,190.88224676367335,190.88224676367335,190.88224676367335,190.88224676367335,190.88224676367335,190.88224676367335,190.88224676367335,190.88224676367335,220.20666666666668,220.20666666666668,220.20666666666668,220.20666666666668,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334,
LunarLander-v3@tunedbase,lazy,0.1,1,200000,784.0,89.13148375739237,89.13148375739237,89.13148375739237,89.13148375739237,103.61481709072585,103.61481709072585,103.61481709072585,103.61481709072585,144.83333333333334,144.83333333333334,144.83333333333334,144.83333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,
LunarLander-v3@tunedbase,lazy,0.3,1,200000,797.4,185.82619451929392,185.82619451929392,185.82619451929392,185.82619451929392,238.85019451929392,238.85019451929392,238.85019451929392,238.85019451929392,176.74666666666667,176.74666666666667,176.74666666666667,176.74666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,
LunarLander-v3@tunedbase,lazy,0.6,1,200000,803.9,146.47612501316556,146.47612501316556,146.47612501316556,146.47612501316556,246.7281250131656,246.7281250131656,246.7281250131656,246.7281250131656,167.08666666666667,167.08666666666667,167.08666666666667,167.08666666666667,0.98,0.98,0.98,0.98,
LunarLander-v3@tunedbase,lazy,1.0,1,200000,792.6,0.1827649716450681,0.1827649716450681,0.1827649716450681,0.1827649716450681,156.20943163831186,156.20943163831186,156.20943163831186,156.20943163831186,156.02666666666667,156.02666666666667,156.02666666666667,156.02666666666667,1.0,1.0,1.0,1.0,
LunarLander-v3@tunedbase,lazy,1.2,1,200000,798.8,23.4215546726213,23.4215546726213,23.4215546726213,23.4215546726213,188.8055546726214,188.8055546726214,188.8055546726214,188.8055546726214,137.82,137.82,137.82,137.82,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,
LunarLander-v3@tunedbase,lazy,1.37,1,200000,744.8,0.545094031707284,0.545094031707284,0.545094031707284,0.545094031707284,160.88076069837416,160.88076069837416,160.88076069837416,160.88076069837416,117.03333333333333,117.03333333333333,117.03333333333333,117.03333333333333,1.0,1.0,1.0,1.0,
LunarLander-v3@tunedbase,lazy,1.6,1,200000,788.3,-280.18539338149253,-280.18539338149253,-280.18539338149253,-280.18539338149253,179.80393995184122,179.80393995184122,179.80393995184122,179.80393995184122,287.49333333333334,287.49333333333334,287.49333333333334,287.49333333333334,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,
LunarLander-v3@tunedbase,lazy,1.8,1,200000,786.6,-100.19725902086402,-100.19725902086402,-100.19725902086402,-100.19725902086402,14.054740979136053,14.054740979136053,14.054740979136053,14.054740979136053,63.473333333333336,63.473333333333336,63.473333333333336,63.473333333333336,1.0,1.0,1.0,1.0,
LunarLander-v3@tunedbase,lazy,2.0,1,200000,775.9,-108.12949978204703,-108.12949978204703,-108.12949978204703,-108.12949978204703,-53.82283311538035,-53.82283311538035,-53.82283311538035,-53.82283311538035,27.153333333333332,27.153333333333332,27.153333333333332,27.153333333333332,1.0,1.0,1.0,1.0,
