seed,steps,raw_return,cost_return,n_actions,solved
501000,200,-200.0,-200.0,200,0
501001,171,-171.0,-171.0,162,1
501002,200,-200.0,-200.0,200,0
501003,200,-200.0,-200.0,200,0
501004,103,-103.0,-103.0,103,1
501005,98,-98.0,-98.0,98,1
501006,101,-101.0,-101.0,101,1
501007,161,-161.0,-161.0,159,1
501008,98,-98.0,-98.0,98,1
501009,200,-200.0,-200.0,200,0
501010,166,-166.0,-166.0,157,1
501011,175,-175.0,-175.0,165,1
501012,200,-200.0,-200.0,200,0
501013,169,-169.0,-169.0,159,1
501014,172,-172.0,-172.0,162,1
501015,172,-172.0,-172.0,162,1
501016,200,-200.0,-200.0,200,0
501017,200,-200.0,-200.0,200,0
501018,101,-101.0,-101.0,101,1
501019,200,-200.0,-200.0,200,0
501020,97,-97.0,-97.0,97,1
501021,185,-185.0,-185.0,174,1
501022,99,-99.0,-99.0,99,1
501023,160,-160.0,-160.0,159,1
501024,173,-173.0,-173.0,163,1
501025,100,-100.0,-100.0,100,1
501026,166,-166.0,-166.0,166,1
501027,115,-115.0,-115.0,115,1
501028,165,-165.0,-165.0,157,1
501029,165,-165.0,-165.0,157,1
501030,173,-173.0,-173.0,163,1
501031,118,-118.0,-118.0,118,1
501032,200,-200.0,-200.0,200,0
501033,161,-161.0,-161.0,159,1
501034,161,-161.0,-161.0,158,1
501035,92,-92.0,-92.0,92,1
501036,200,-200.0,-200.0,188,0
501037,200,-200.0,-200.0,200,0
501038,200,-200.0,-200.0,188,0
501039,200,-200.0,-200.0,200,0
501040,200,-200.0,-200.0,200,0
501041,189,-189.0,-189.0,178,1
501042,93,-93.0,-93.0,93,1
501043,93,-93.0,-93.0,93,1
501044,200,-200.0,-200.0,200,0
501045,170,-170.0,-170.0,160,1
501046,101,-101.0,-101.0,101,1
501047,200,-200.0,-200.0,200,0
501048,95,-95.0,-95.0,95,1
501049,111,-111.0,-111.0,111,1
501050,200,-200.0,-200.0,200,0
501051,163,-163.0,-163.0,156,1
501052,165,-165.0,-165.0,157,1
501053,161,-161.0,-161.0,159,1
501054,95,-95.0,-95.0,95,1
501055,172,-172.0,-172.0,162,1
501056,116,-116.0,-116.0,116,1
501057,95,-95.0,-95.0,95,1
501058,96,-96.0,-96.0,96,1
501059,94,-94.0,-94.0,94,1
501060,161,-161.0,-161.0,158,1
501061,200,-200.0,-200.0,200,0
501062,170,-170.0,-170.0,160,1
501063,102,-102.0,-102.0,102,1
501064,94,-94.0,-94.0,94,1
501065,162,-162.0,-162.0,156,1
501066,93,-93.0,-93.0,93,1
501067,176,-176.0,-176.0,165,1
501068,175,-175.0,-175.0,165,1
501069,193,-193.0,-193.0,182,1
501070,171,-171.0,-171.0,161,1
501071,110,-110.0,-110.0,110,1
501072,160,-160.0,-160.0,159,1
501073,200,-200.0,-200.0,200,0
501074,93,-93.0,-93.0,93,1
501075,200,-200.0,-200.0,200,0
501076,94,-94.0,-94.0,94,1
501077,170,-170.0,-170.0,161,1
501078,167,-167.0,-167.0,158,1
501079,200,-200.0,-200.0,200,0
501080,168,-168.0,-168.0,159,1
501081,93,-93.0,-93.0,93,1
501082,161,-161.0,-161.0,158,1
501083,167,-167.0,-167.0,158,1
501084,200,-200.0,-200.0,200,0
501085,200,-200.0,-200.0,200,0
501086,102,-102.0,-102.0,102,1
501087,161,-161.0,-161.0,158,1
501088,93,-93.0,-93.0,93,1
501089,97,-97.0,-97.0,97,1
501090,101,-101.0,-101.0,101,1
501091,93,-93.0,-93.0,93,1
501092,167,-167.0,-167.0,158,1
501093,114,-114.0,-114.0,114,1
501094,200,-200.0,-200.0,200,0
501095,168,-168.0,-168.0,159,1
501096,95,-95.0,-95.0,95,1
501097,168,-168.0,-168.0,159,1
501098,200,-200.0,-200.0,200,0
501099,106,-106.0,-106.0,106,1
