seed,steps,raw_return,cost_return,n_actions,solved
500000,157,-157.0,-157.0,157,1
500001,200,-200.0,-200.0,200,0
500002,200,-200.0,-200.0,200,0
500003,165,-165.0,-165.0,165,1
500004,200,-200.0,-200.0,200,0
500005,200,-200.0,-200.0,200,0
500006,200,-200.0,-200.0,200,0
500007,180,-180.0,-180.0,180,1
500008,168,-168.0,-168.0,168,1
500009,182,-182.0,-182.0,182,1
500010,200,-200.0,-200.0,200,0
500011,200,-200.0,-200.0,200,0
500012,200,-200.0,-200.0,200,0
500013,200,-200.0,-200.0,200,0
500014,186,-186.0,-186.0,186,1
500015,200,-200.0,-200.0,200,0
500016,170,-170.0,-170.0,170,1
500017,200,-200.0,-200.0,200,0
500018,200,-200.0,-200.0,200,0
500019,200,-200.0,-200.0,200,0
500020,167,-167.0,-167.0,167,1
500021,157,-157.0,-157.0,157,1
500022,157,-157.0,-157.0,157,1
500023,200,-200.0,-200.0,200,0
500024,200,-200.0,-200.0,200,0
500025,200,-200.0,-200.0,200,0
500026,200,-200.0,-200.0,200,0
500027,200,-200.0,-200.0,200,0
500028,170,-170.0,-170.0,170,1
500029,200,-200.0,-200.0,200,0
500030,164,-164.0,-164.0,164,1
500031,200,-200.0,-200.0,200,0
500032,167,-167.0,-167.0,167,1
500033,200,-200.0,-200.0,200,0
500034,200,-200.0,-200.0,200,0
500035,187,-187.0,-187.0,187,1
500036,200,-200.0,-200.0,200,0
500037,200,-200.0,-200.0,200,0
500038,175,-175.0,-175.0,175,1
500039,200,-200.0,-200.0,200,0
500040,200,-200.0,-200.0,200,0
500041,184,-184.0,-184.0,184,1
500042,167,-167.0,-167.0,167,1
500043,200,-200.0,-200.0,200,0
500044,200,-200.0,-200.0,200,0
500045,170,-170.0,-170.0,170,1
500046,200,-200.0,-200.0,200,0
500047,200,-200.0,-200.0,200,0
500048,200,-200.0,-200.0,200,0
500049,187,-187.0,-187.0,187,1
500050,200,-200.0,-200.0,200,0
500051,200,-200.0,-200.0,200,0
500052,200,-200.0,-200.0,200,0
500053,178,-178.0,-178.0,178,1
500054,200,-200.0,-200.0,200,0
500055,167,-167.0,-167.0,167,1
500056,178,-178.0,-178.0,178,1
500057,200,-200.0,-200.0,200,0
500058,200,-200.0,-200.0,200,0
500059,200,-200.0,-200.0,200,0
500060,183,-183.0,-183.0,183,1
500061,200,-200.0,-200.0,200,0
500062,200,-200.0,-200.0,200,0
500063,157,-157.0,-157.0,157,1
500064,200,-200.0,-200.0,200,0
500065,200,-200.0,-200.0,200,0
500066,200,-200.0,-200.0,200,0
500067,200,-200.0,-200.0,200,0
500068,200,-200.0,-200.0,200,0
500069,200,-200.0,-200.0,200,0
500070,200,-200.0,-200.0,200,0
500071,180,-180.0,-180.0,180,1
500072,178,-178.0,-178.0,178,1
500073,177,-177.0,-177.0,177,1
500074,200,-200.0,-200.0,200,0
500075,170,-170.0,-170.0,170,1
500076,200,-200.0,-200.0,200,0
500077,184,-184.0,-184.0,184,1
500078,163,-163.0,-163.0,163,1
500079,200,-200.0,-200.0,200,0
500080,160,-160.0,-160.0,160,1
500081,200,-200.0,-200.0,200,0
500082,200,-200.0,-200.0,200,0
500083,157,-157.0,-157.0,157,1
500084,167,-167.0,-167.0,167,1
500085,200,-200.0,-200.0,200,0
500086,200,-200.0,-200.0,200,0
500087,200,-200.0,-200.0,200,0
500088,170,-170.0,-170.0,170,1
500089,200,-200.0,-200.0,200,0
500090,200,-200.0,-200.0,200,0
500091,200,-200.0,-200.0,200,0
500092,200,-200.0,-200.0,200,0
500093,200,-200.0,-200.0,200,0
500094,200,-200.0,-200.0,200,0
500095,169,-169.0,-169.0,169,1
500096,200,-200.0,-200.0,200,0
500097,159,-159.0,-159.0,159,1
500098,200,-200.0,-200.0,200,0
500099,200,-200.0,-200.0,200,0
